lot,address,city,state,zip,parcel,phase,latitude,longitude
1,9975 BENTWOOD CREEK DR,Collierville,TN,38017,C0232C B00001,PH 1,35.066520,-89.730421
2,9983 BENTWOOD CREEK DR,Collierville,TN,38017,C0232C B00002,PH 1,35.066524,-89.730062
3,9989 BENTWOOD CREEK DR,Collierville,TN,38017,C0232C B00003,PH 1,35.066552,-89.729687
4,10007 BENTWOOD CREEK DR,Collierville,TN,38017,C0232C B00004,PH 1,35.066606,-89.729324
5,10015 BENTWOOD CREEK DR,Collierville,TN,38017,C0232C B00005,PH 1,35.066625,-89.728891
6,10043 BENTWOOD CREEK DR,Collierville,TN,38017,C0232C B00006,PH 1,35.066217,-89.728831
7,10004 BENTWOOD CREEK CV,Collierville,TN,38017,C0232C B00007,PH 1,35.066155,-89.729266
8,9994 BENTWOOD CREEK CV,Collierville,TN,38017,C0232C B00008,PH 1,35.066140,-89.729623
9,9982 BENTWOOD CREEK CV,Collierville,TN,38017,C0232C B00009,PH 1,35.066139,-89.729979
10,9974 BENTWOOD CREEK CV,Collierville,TN,38017,C0232C B00010,PH 1,35.066190,-89.730363
11,9968 BENTWOOD CREEK CV,Collierville,TN,38017,C0232C B00011,PH 1,35.066017,-89.730686
12,9967 BENTWOOD CREEK CV,Collierville,TN,38017,C0232C B00012,PH 1,35.065571,-89.730756
13,9975 BENTWOOD CREEK CV,Collierville,TN,38017,C0232C B00013,PH 1,35.065497,-89.730330
14,9981 BENTWOOD CREEK CV,Collierville,TN,38017,C0232C B00014,PH 1,35.065549,-89.729975
15,9993 BENTWOOD CREEK CV,Collierville,TN,38017,C0232C B00015,PH 1,35.065535,-89.729636
16,10003 BENTWOOD CREEK CV,Collierville,TN,38017,C0232C B00016,PH 1,35.065533,-89.729291
17,10013 BENTWOOD CREEK CV,Collierville,TN,38017,C0232C B00017,PH 1,35.065507,-89.728915
18,3048 BENTWOOD RUN DR,Collierville,TN,38017,C0232C B00018,PH 1,35.065432,-89.728157
19,3038 BENTWOOD RUN DR,Collierville,TN,38017,C0232C B00019,PH 1,35.065735,-89.728234
20,10046 BENTWOOD CREEK DR,Collierville,TN,38017,C0232C B00020,PH 1,35.066024,-89.728162
21,10040 BENTWOOD CREEK DR,Collierville,TN,38017,C0232C B00021,PH 1,35.066337,-89.728065
22,10032 BENTWOOD CREEK DR,Collierville,TN,38017,C0232C B00022,PH 1,35.066671,-89.728057
23,10026 BENTWOOD CREEK DR,Collierville,TN,38017,C0232C B00023,PH 1,35.066969,-89.728193
24,10020 BENTWOOD CREEK DR,Collierville,TN,38017,C0232C B00024,PH 1,35.067131,-89.728580
25,10010 BENTWOOD CREEK DR,Collierville,TN,38017,C0232C B00025,PH 1,35.067204,-89.729038
26,9990 BENTWOOD CREEK DR,Collierville,TN,38017,C0232C B00026,PH 1,35.067141,-89.729711
27,9980 BENTWOOD CREEK DR,Collierville,TN,38017,C0232C B00027,PH 1,35.067109,-89.730113
28,2971 BENTWOOD OAK DR,Collierville,TN,38017,C0232B D00001,PH 2,35.067522,-89.729816
29,2961 BENTWOOD OAK DR,Collierville,TN,38017,C0232B D00002,PH 2,35.067806,-89.729774
30,2951 BENTWOOD OAK DR,Collierville,TN,38017,C0232B D00003,PH 2,35.068080,-89.729727
31,2941 BENTWOOD OAK DR,Collierville,TN,38017,C0232B D00004,PH 2,35.068353,-89.729683
32,2931 BENTWOOD OAK DR,Collierville,TN,38017,C0232B D00005,PH 2,35.068655,-89.729650
33,2919 BENTWOOD OAK DR,Collierville,TN,38017,C0232B D00006,PH 2,35.068984,-89.729427
34,2905 BENTWOOD OAK DR,Collierville,TN,38017,C0232B D00007,PH 2,35.069106,-89.728878
35,2892 BENTWOOD OAK DR,Collierville,TN,38017,C0232B D00008,PH 2,35.069112,-89.728035
36,2902 BENTWOOD OAK DR,Collierville,TN,38017,C0232B D00009,PH 2,35.068740,-89.728126
37,2910 BENTWOOD OAK DR,Collierville,TN,38017,C0232B D00010,PH 2,35.068546,-89.728558
38,2928 BENTWOOD OAK DR,Collierville,TN,38017,C0232B D00011,PH 2,35.068516,-89.728992
39,10008 BENTWOOD PEAK CV,Collierville,TN,38017,C0232B D00012,PH 2,35.068111,-89.729097
40,10018 BENTWOOD PEAK CV,Collierville,TN,38017,C0232B D00013,PH 2,35.068118,-89.728744
41,10026 BENTWOOD PEAK CV,Collierville,TN,38017,C0232B D00014,PH 2,35.068237,-89.728318
42,10036 BENTWOOD PEAK CV,Collierville,TN,38017,C0232B D00015,PH 2,35.068113,-89.727983
43,10035 BENTWOOD PEAK CV,Collierville,TN,38017,C0232B D00016,PH 2,35.067543,-89.728003
44,10025 BENTWOOD PEAK CV,Collierville,TN,38017,C0232B D00017,PH 2,35.067470,-89.728391
45,10015 BENTWOOD PEAK CV,Collierville,TN,38017,C0232B D00018,PH 2,35.067581,-89.728815
46,10005 BENTWOOD PEAK CV,Collierville,TN,38017,C0232B D00019,PH 2,35.067583,-89.729180
47,10015 BENTWOOD BIRCH CV,Collierville,TN,38017,C0232B E00001,PH 3,35.063477,-89.728746
48,10005 BENTWOOD BIRCH CV,Collierville,TN,38017,C0232B E00002,PH 3,35.063475,-89.729126
49,9991 BENTWOOD BIRCH CV,Collierville,TN,38017,C0232B E00003,PH 3,35.063455,-89.729569
50,9992 BENTWOOD BIRCH CV,Collierville,TN,38017,C0232B E00004,PH 3,35.063733,-89.729717
51,9998 BENTWOOD BIRCH CV,Collierville,TN,38017,C0232B E00005,PH 3,35.064077,-89.729556
52,10004 BENTWOOD BIRCH CV,Collierville,TN,38017,C0232B E00006,PH 3,35.064035,-89.729103
53,10014 BENTWOOD BIRCH CV,Collierville,TN,38017,C0232B E00007,PH 3,35.064015,-89.728735
54,10017 BENTWOOD TREE CV,Collierville,TN,38017,C0232B E00008,PH 3,35.064483,-89.728721
55,10007 BENTWOOD TREE CV,Collierville,TN,38017,C0232B E00009,PH 3,35.064485,-89.729088
56,10001 BENTWOOD TREE CV,Collierville,TN,38017,C0232B E00010,PH 3,35.064446,-89.729525
57,9995 BENTWOOD TREE CV,Collierville,TN,38017,C0232B E00011,PH 3,35.064735,-89.729697
58,9996 BENTWOOD TREE CV,Collierville,TN,38017,C0232B E00012,PH 3,35.065090,-89.729591
59,10006 BENTWOOD TREE CV,Collierville,TN,38017,C0232B E00013,PH 3,35.065095,-89.729168
